日期,点击次数,展示,点击率,排名
2026-02-25,0,0,,
2026-02-26,0,0,,
2026-02-27,2,3,66.67%,1
2026-02-28,1,9,11.11%,19.2
2026-03-01,0,10,0%,75.4
2026-03-02,0,18,0%,80.8
2026-03-03,0,37,0%,76.1
2026-03-04,0,125,0%,66.1
2026-03-05,0,342,0%,75.1
2026-03-06,0,228,0%,71.1
2026-03-07,0,470,0%,36.5
2026-03-08,1,295,0.34%,71.9
2026-03-09,0,203,0%,69.8
2026-03-10,1,223,0.45%,69.3
2026-03-11,1,208,0.48%,72
2026-03-12,3,173,1.73%,68.9
2026-03-13,0,149,0%,71.7
2026-03-14,0,105,0%,66.6
2026-03-15,0,162,0%,67.2
2026-03-16,0,252,0%,71.5
2026-03-17,0,249,0%,73.8
2026-03-18,0,227,0%,72.3
2026-03-19,0,388,0%,70.9
2026-03-20,0,336,0%,71.6
2026-03-21,1,283,0.35%,70
2026-03-22,0,273,0%,68.2
2026-03-23,1,215,0.47%,66.4
2026-03-24,0,156,0%,59.3
2026-03-25,0,244,0%,59.1
2026-03-26,1,322,0.31%,61.5
2026-03-27,0,235,0%,63.1
2026-03-28,0,321,0%,67.1
2026-03-29,0,325,0%,64.7
2026-03-30,1,294,0.34%,61.6
2026-03-31,0,272,0%,51.8
2026-04-01,0,302,0%,48.7
2026-04-02,1,448,0.22%,62.6
2026-04-03,2,561,0.36%,62.7
2026-04-04,0,279,0%,58.7
2026-04-05,1,271,0.37%,54.6
2026-04-06,0,296,0%,49.1
2026-04-07,1,328,0.3%,47.9
2026-04-08,1,251,0.4%,52.3
2026-04-09,0,496,0%,52.8
2026-04-10,0,270,0%,46.8
2026-04-11,2,269,0.74%,49.6
2026-04-12,0,287,0%,47.8
2026-04-13,1,307,0.33%,47.6
2026-04-14,1,251,0.4%,49.3
2026-04-15,1,453,0.22%,53.9
2026-04-16,1,394,0.25%,49.5
2026-04-17,0,940,0%,61
2026-04-18,0,392,0%,54
2026-04-19,0,506,0%,58.1
2026-04-20,2,455,0.44%,54.3
2026-04-21,3,720,0.42%,57.3
2026-04-22,3,648,0.46%,59.2
2026-04-23,0,691,0%,53.6
2026-04-24,2,340,0.59%,45
2026-04-25,1,311,0.32%,49.2
2026-04-26,1,327,0.31%,50.5
2026-04-27,2,370,0.54%,44
2026-04-28,2,418,0.48%,38.6
2026-04-29,0,470,0%,44
2026-04-30,1,456,0.22%,33.5
2026-05-01,3,362,0.83%,43.6
